BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
BHUNA,Fiber Crops,2016,8,7,Cotton Kapas,FATEHABAD,Fertilizer Use and Availability,KHARIF,AGRICULTURE,HARYANA,Information regarding to total dosese of fertilizers in cotton crop ,urea  140kgssp-150 kgpotas-40 kgzinc-10 kgacre,29.5359,75.5753
MADLAUDA,Others,2019,1,15,Other,PANIPAT,Market Information,,AGRICULTURE,HARYANA,information regarding site for check subsidies,site agriharyanaorg,29.3913,76.9772
FARIDABAD,Cereals,2021,1,5,Wheat,FARIDABAD,Nutrient Management,,AGRICULTURE,HARYANA,TELL ME NUTRIENT MANAGEMENT  ,NPK 18:18:18   10         ,28.4031,77.3106
DABWALI,Oilseeds,2013,10,20,Mustard,SIRSA,Plant Protection,KHARIF,AGRICULTURE,HARYANA,Information regarding improved varieties of sarson,RH-30RH-0749RH-9801RH-9304T-59RB-50,29.6063,74.9037
RATIA,Cereals,2014,12,8,Wheat,FATEHABAD,Plant Protection,RABI,AGRICULTURE,HARYANA,information regarding control of termite in wheat ,broadcasting of chloropyriphos20 2 litre  2 litre of water25 kg of soilacre,29.5359,75.5753
0   ,0,2010,11,27,Wheat,MAHENDRA GARH,Fertilizer Use and Availability,KHARIF,AGRICULTURE,HARYANA,information regarding to the fertilizers dose in wheat crop ,to the fertilizers dose in wheat crop is dap-50kgurea-110kgmop-20kgzinc sulphate- 10kgacre,29.0,76.0
JULANA,Oilseeds,2017,9,12,Mustard,JIND,Varieties,KHARIF,AGRICULTURE,HARYANA,informaton regarding of varieties of musturd,RH-30  T-59 RH-8113 RB-50 RH 8812 RH 781 RH-819  RH 9304 RH 9801 RH 0406 RB 9901 RH - 0749,29.314,76.3179
GHARAUNDA PART,Vegetables,2016,6,2,BhindiOkraLadysfinger,KARNAL,Bio-Pesticides and Bio-Fertilizers,KHARIF,HORTICULTURE,HARYANA,SOWING TIME OF BHINDI ,SOWING TIME OF BHINDI FEBUARY - MARCH  JUNE JULY MONTH ,29.7256,76.9107
JATUSANA,Oilseeds,2017,11,26,Mustard,REWARI,Cultural Practices,,AGRICULTURE,HARYANA,INFORMATION REGARDING OF IRRIGATION TIME IN MUSTERD CROP ,FIRST IRRIGATION IN MUSTERD CROP AT FLOWRING STAGE,28.1956,76.6165
FARRUKH NAGAR,Others,2022,9,3,Others,GURGAON,Government Schemes,,AGRICULTURE,HARYANA,Haryana State Agricultural Marketing Board,Haryana State Agricultural Marketing BoardC-6 SECTOR - 6PANCHKULAHARYANA  INDIAChief Admin BoardEPABX:     91-172-2560056 2560256 2560143 2560229Website:     wwwhsamborgin Toll Free No 18001802060,28.4646,77.0299
BARARA,Fodder Crops,2017,1,23,Barseem,AMBALA,Bio-Pesticides and Bio-Fertilizers,RABI,AGRICULTURE,HARYANA,information regarding to fungal in barseem ,control of fungal in barseem - 500 gm bavistin in 200 liter of water per acre,30.3844,76.7704
BALLABGARH,Cereals,2012,7,31,1137,FARIDABAD,Fertilizer Use and Availability,JAYAD,AGRICULTURE,HARYANA,information regarding fertilizer dose in basmati ,urea 80 kg  SSP-75 KG   zinc-10 kg,28.4031,77.3106
0   ,0,2009,4,1,Cotton Kapas,GURGAON,5,JAYAD,AGRICULTURE,HARYANA,INFORMATION REGARDING TO IMPROVED THE VARITIES OF COTTON CROP ,I TOLD THE KISAN TO IMPROVED THE VARITIES OF COTTON CROP IS HHH-223HHH-287H-1117,28.4646,77.0299
GUHLA,Others,2023,1,28,Others,KAITHAL,Government Schemes,,AGRICULTURE,HARYANA,Information regarding subsidies,        http:agriharyanaorg  http:hortharyanagovinen   https:agriharyanagovin   https:saralharyanagovin    0172-2571553  1800 180 2117   ,29.7997,76.399
PANIPAT,Cereals,2018,12,23,Wheat,PANIPAT,Weed Management,0,AGRICULTURE,HARYANA,Information regarding control of mixed weed in wheat,Spray atlantis 160 gram or total16 gram or vesta 160gram 500 gram surfactant  or acord plus 500 mililiter  dissolve in 200 liter water per acre within 30-35 days  after sowing,29.3913,76.9772
UCHANA,Others,2018,4,28,Others,JIND,Weather,,AGRICULTURE,HARYANA,Information regarding Weather ,There will be some clouds  no some chance of rainfall ,29.314,76.3179
DABWALI,Others,2024,11,4,Others,SIRSA,Government Schemes,,AGRICULTURE,HARYANA,Information regarding subsidy on paddy straw management,          https:agriharyanagovinapplyschemes     30112024                         21  -134117   :- 0172 2571553 2521900      1800 180 2117      9     5      ,29.6063,74.9037
